state,date,division,index,yoy_inflation
Johor,2010-01-01,01,98.9,
Johor,2010-02-01,01,98.9,
Johor,2010-03-01,01,99.0,
Johor,2010-04-01,01,99.1,
Johor,2010-05-01,01,99.4,
Johor,2010-06-01,01,100.1,
Johor,2010-07-01,01,100.5,
Johor,2010-08-01,01,100.7,
Johor,2010-09-01,01,100.5,
Johor,2010-10-01,01,100.5,
Johor,2010-11-01,01,101.1,
Johor,2010-12-01,01,101.2,
Johor,2011-01-01,01,102.5,3.640040444893833
Johor,2011-02-01,01,104.1,5.257836198179966
Johor,2011-03-01,01,103.7,4.747474747474745
Johor,2011-04-01,01,103.8,4.742684157416743
Johor,2011-05-01,01,103.9,4.527162977867194
Johor,2011-06-01,01,105.5,5.39460539460539
Johor,2011-07-01,01,106.0,5.472636815920406
Johor,2011-08-01,01,105.7,4.96524329692154
Johor,2011-09-01,01,106.4,5.870646766169152
Johor,2011-10-01,01,107.4,6.86567164179106
Johor,2011-11-01,01,107.0,5.835806132542043
Johor,2011-12-01,01,107.6,6.324110671936745
Johor,2012-01-01,01,109.5,6.829268292682933
Johor,2012-02-01,01,107.5,3.2660902977905915
Johor,2012-03-01,01,107.2,3.375120540019294
Johor,2012-04-01,01,106.9,2.9865125240847945
Johor,2012-05-01,01,107.9,3.849855630413868
Johor,2012-06-01,01,108.5,2.8436018957346043
Johor,2012-07-01,01,108.8,2.641509433962264
Johor,2012-08-01,01,109.1,3.216650898770101
Johor,2012-09-01,01,109.3,2.725563909774431
Johor,2012-10-01,01,109.4,1.862197392923659
Johor,2012-11-01,01,109.5,2.336448598130847
Johor,2012-12-01,01,110.0,2.230483271375472
Johor,2013-01-01,01,111.7,2.0091324200913308
Johor,2013-02-01,01,112.2,4.372093023255808
Johor,2013-03-01,01,111.7,4.197761194029859
Johor,2013-04-01,01,111.4,4.209541627689428
Johor,2013-05-01,01,112.1,3.892493049119538
Johor,2013-06-01,01,112.5,3.686635944700467
Johor,2013-07-01,01,113.2,4.044117647058831
Johor,2013-08-01,01,113.5,4.032997250229142
Johor,2013-09-01,01,113.7,4.025617566331197
Johor,2013-10-01,01,113.8,4.021937842778778
Johor,2013-11-01,01,114.0,4.109589041095885
Johor,2013-12-01,01,115.6,5.090909090909079
Johor,2014-01-01,01,116.1,3.93912264995524
Johor,2014-02-01,01,116.0,3.3868092691622165
Johor,2014-03-01,01,116.2,4.0286481647269445
Johor,2014-04-01,01,116.2,4.308797127468589
Johor,2014-05-01,01,115.9,3.389830508474589
Johor,2014-06-01,01,116.7,3.733333333333344
Johor,2014-07-01,01,117.3,3.621908127208484
Johor,2014-08-01,01,117.5,3.524229074889873
Johor,2014-09-01,01,117.7,3.518029903254183
Johor,2014-10-01,01,117.2,2.987697715289994
Johor,2014-11-01,01,117.7,3.2456140350877183
Johor,2014-12-01,01,118.2,2.249134948096887
Johor,2015-01-01,01,120.3,3.617571059431524
Johor,2015-02-01,01,119.7,3.1896551724137856
Johor,2015-03-01,01,119.4,2.753872633390708
Johor,2015-04-01,01,120.6,3.786574870912207
Johor,2015-05-01,01,121.4,4.745470232959437
Johor,2015-06-01,01,122.3,4.798628963153373
Johor,2015-07-01,01,122.9,4.774083546462071
Johor,2015-08-01,01,123.9,5.446808510638301
Johor,2015-09-01,01,124.4,5.69243840271878
Johor,2015-10-01,01,124.2,5.972696245733777
Johor,2015-11-01,01,123.8,5.182667799490215
Johor,2015-12-01,01,125.1,5.83756345177664
Johor,2016-01-01,01,126.3,4.987531172069826
Johor,2016-02-01,01,127.1,6.182121971595644
Johor,2016-03-01,01,127.3,6.616415410385246
Johor,2016-04-01,01,127.2,5.472636815920406
Johor,2016-05-01,01,127.5,5.024711696869844
Johor,2016-06-01,01,128.5,5.069501226492235
Johor,2016-07-01,01,129.0,4.963384865744502
Johor,2016-08-01,01,129.6,4.600484261501192
Johor,2016-09-01,01,129.1,3.778135048231501
Johor,2016-10-01,01,128.3,3.301127214170707
Johor,2016-11-01,01,129.3,4.44264943457191
